i_min,i_max,alpha,sample_parameter,max_time,rel_tabu_size
-32.912534618003825,-31.45556238837845,-30.4919103033659,-11.761210164758067,-41.46672528016965,-27.43514042166663
-33.542086217364975,-28.6119056899023,-28.745672925814453,-17.031210082418006,-31.90500894038191,-28.00882283908402
-31.366724686473425,-23.856958322169334,-27.457730394079807,-28.950467353706234,-26.310437282341873,-30.156158792217116
-25.962094393100852,-36.75083911202772,-28.96633567998445,-43.56832875129715,-25.8073005853724,-29.340089077686333
-26.71544725742329,-29.823621659888566,-34.83723786912177,-49.187670820186916,-25.009415084100546,-35.558676041712275
