num_individuals,crossover_prob,mutation_prob,size_elite,k
-60.448454500686225,-59.93303645353387,-62.37406550170986,-54.83760600105486,-54.59733800798165
-57.99559747209565,-63.812762563917566,-64.07803401918812,-58.942118070754034,-49.91716737437073
-53.03741840432893,-52.74278959552562,-58.509807063531376,-57.6943053770987,-60.982453015411146
-60.81747915032544,-55.97354491097536,-45.22872875820029,-55.6213618869081,-58.611047678233966
-51.41168252367511,-51.24849852715893,-53.51999670848171,-56.61524071529567,-59.60262597511387
