i_min,i_max,alpha,sample_parameter,max_time,rel_tabu_size
-69.36804186242588,-60.218068349932324,-65.80334666304284,-42.80914984411987,-69.75569020854485,-65.55799752456753
-62.03835370176311,-65.41025667535288,-58.772674375691565,-53.35498640354456,-68.33021153930466,-57.34252806045284
-59.547456648075766,-54.85488992490842,-60.62023559939685,-66.26677523190122,-62.321606527480164,-59.26572018852202
-51.92625737352696,-65.38067594822738,-57.05939865893479,-69.73280350466828,-56.41734145146387,-57.55864919373204
-62.59193036592584,-59.60814905329655,-63.216384654651506,-73.30832496748361,-48.64719022492402,-65.74714498444311
