num_individuals,crossover_prob,mutation_prob,size_elite,k
-50.968535241364265,-55.71727352975645,-53.97523704673516,-51.93204401195167,-59.05410686731583
-49.58768939699134,-55.91778906318306,-56.02585260618987,-54.681567020574604,-54.03800473080624
-50.94924559789461,-52.22865501952204,-54.91584124229614,-56.83067589975072,-55.71773743501082
-57.37894516687303,-51.24740522649479,-52.72867513676185,-54.531195027359786,-50.88568845953343
-60.35942217274502,-54.13271473691193,-51.598231543885234,-51.268355616231496,-49.548300083201944
