i_min,i_max,alpha,sample_parameter,max_time,rel_tabu_size
-66.79406855127445,-58.332494236039,-62.37126830811094,-40.898369723920815,-73.04693496376652,-61.32855556461851
-57.71082222370448,-62.80095057225558,-58.06876695719241,-47.79901658769201,-68.89445242280101,-56.584121381309274
-54.95319958039465,-52.95833805480307,-59.384325041595204,-62.206111151188246,-59.293130077548106,-57.13052918169693
-51.7738319544143,-63.03748900861657,-54.73369389157945,-69.24485559929084,-50.193382749181914,-56.7187324992103
-63.24166479774019,-57.34431523581388,-59.91553290905009,-74.32523404543618,-43.045686894230556,-62.71164848069308
