num_individuals,crossover_prob,mutation_prob,size_elite,k
-52.950341452290445,-49.026223894504724,-57.92523407876255,-45.78094773360988,-43.116851252649774
-45.01657735936337,-50.10561339088211,-51.004371624377356,-45.72530303122291,-44.37137546584613
-44.583490017881005,-47.98680545839551,-45.785533403599715,-47.459410224544975,-48.773872434371526
-49.04858721145281,-42.75848993070961,-40.83934658736557,-47.92822302691324,-49.147306543541234
-42.86822973043541,-44.59009309693109,-38.912740077317835,-47.57334175513203,-49.05782007501436
